Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Katarina,Jönsson,Kyrkogatan 319,Borås,81500,Sverige,SE,19760720-8600,+46,08-375 488 58,1976-07-20,True
Johanna,Karjalainen,Döbelninbulevardi 48,Sulkava,28614,Finland,FI,19400113-8628,+358,0672787583,1940-01-13,True
Sara,Isaksson,Grangränd 903,Luleå,72250,Sverige,SE,19540427-0567,46,0642-56 51 76,1954-04-27,True
Rachel,Bright,Rodriguez Plain 217,Lisabury,18239,Danmark,DK,19750127-1209,+45,+1-833-262-1037x97321,1975-01-27,True
Hans,Nilsson,Björkgränd 69,Kalmar,42123,Sverige,SE,19970829-3795,+46,081-25 85 28,1997-08-29,True
Karl,Nyman,Grangränd 65,Nyköping,33426,Sverige,SE,19621018-4754,+46,08-36 38 54,1962-10-18,True
Anders,Bengtsson,Idrottsvägen 3,Borås,94963,Sverige,SE,19990624-5425,+46,+46 (0)174 438 66,1999-06-24,True
Marie,Andersson,Ekgatan 24,Nyköping,50005,Sverige,SE,19580930-5604,+46,+46 (0)8 590 743 39,1958-09-30,True
Margaret,Brown,William Cove 23241,West Rachelchester,94921,Danmark,DK,19640806-8519,+45,001-786-885-7112x0220,1964-08-06,True
Margareta,Tuomi,Saanatunturinkatu 90,Saarijärvi,86230,Finland,FI,19730214-0529,+358,016 781 3567,1973-02-14,True
Johan,Nilsson,Industrigatan 8,Jönköping,22858,Sverige,SE,19450429-0385,+46,0824-214 08,1945-04-29,True
Hanna,Nyberg,Kyrkogränd 754,Östersund,17680,Sverige,SE,19731226-6626,+46,+46 (0)087 252 07,1973-12-26,True
Jenny,Eklund,Ängsgränd 8,Linköping,67514,Sverige,SE,19730802-3269,+46,08-941 220 62,1973-08-02,True
Ole,Larsen,Ahmedåsen 16,Pettersen,5892,Norge,NO,19530914-5297,+47,+47 01 56 86 60,1953-09-14,True
Margareta,Isaksson,Bäckvägen 97,Luleå,55056,Sverige,SE,20000814-0884,+46,+46 (0)11 52 64 66,2000-08-14,True
Anita,Holmqvist,Ängsvägen 182,Skövde,56393,Sverige,SE,19640111-8710,+46,08-581 69 98,1964-01-11,True
Eivind,Amundsen,Thorsenringen 3,Abrahamsen,9787,Norge,NO,19430906-9471,+47,91754894,1943-09-06,True
Lovisa,Jakobsson,Villavägen 127,Göteborg,32070,Sverige,SE,19460728-7379,+46,+46 (0)090 678 11,1946-07-28,True
Stefan,Andersson,Ektorget 9,Södertälje,83716,Sverige,SE,19591105-1088,+46,08-350 391 26,1959-11-05,True
Wesley,Thomas,Johnson Forge 83407,Lake Kevinburgh,57722,Danmark,DK,19600903-0536,+45,(316)639-6745,1960-09-03,True
Johannes,Strand,Aasholtet 53C,Jonhavn,2935,Norge,NO,19860503-3350,+47,447 36 769,1986-05-03,True
Erik,Persson,Furustigen 2,Sandviken,30386,Sverige,SE,19830603-1522,+46,+46 (0)8 375 772 86,1983-06-03,True
Arne,Nilsson,Kyrkogränd 944,Sundsvall,68835,Sverige,SE,19940523-7622,+46,0497-90 21 15,1994-05-23,True
Marianne,Eriksson,Nytorget 195,Varberg,74298,Sverige,SE,19800216-1551,+46,+46 (0)065 517 04,1980-02-16,True
Pekka,Laitinen,Kimalaistie 76,Pielavesi,75094,Finland,FI,19441228-093X,+358,+358 11 7435349,1944-12-28,True
Sonja,Eriksson,Strandgatan 076,Alingsås,34969,Sverige,SE,19730129-5427,+46,08-638 040 96,1973-01-29,True
Veikko,Lindgren,Runoilijantie 1,Kurikka,12428,Finland,FI,19680606-488A,+358,+358883496107,1968-06-06,True
Margareta,Samuelsson,Åkervägen 9,Lidköping,14968,Sverige,SE,19960205-9384,+46,08-199 68 27,1996-02-05,True
Gunnel,Persson,Ekvägen 8,Piteå,24987,Sverige,SE,19581027-8335,+46,08-736 80 71,1958-10-27,True
Kenneth,Strøm,Liesvingen 4,Johannessen,7856,Norge,NO,19460302-0777,+47,58 28 47 19,1946-03-02,True
Karin,Davidsson,Åkergränd 8,Helsingborg,34927,Sverige,SE,19580526-0574,+46,08-53 46 86,1958-05-26,True
Markus,Strand,Antonsenmyra 4,Hagen,4038,Norge,NO,19440421-8238,+47,99292986,1944-04-21,True
Marie,Olsen,Nygårdskogen 05F,Larsbø,3156,Norge,NO,19710523-1621,+47,972 96 804,1971-05-23,True
Eva,Eklund,Aspgatan 825,Östersund,45428,Sverige,SE,19770915-6118,+46,0316-57 72 44,1977-09-15,True
Inga,Pedersen,Skolstigen 1,Östersund,59804,Sverige,SE,19740221-1710,+46,+46 (0)775 993 95,1974-02-21,True
Maj,Johansson,Kyrktorget 02,Uddevalla,34158,Sverige,SE,19840216-1271,+46,+46 (0)35 38 69 46,1984-02-16,True
Susanna,Johansson,Fagottipolku 762,Kyyjärvi,29828,Finland,FI,19440808-658F,+358,0670847994,1944-08-08,True
Holly,Craig,Dixon Stream 456,East Garyton,93946,Danmark,DK,19630627-2237,+45,+1-256-644-6405x16348,1963-06-27,True
Fredrik,Svensson,Nyvägen 49,Ängelholm,86356,Sverige,SE,19520130-5724,+46,+46 (0)409 065 40,1952-01-30,True
Daniel,Andersson,Skolgatan 510,Karlstad,59302,Sverige,SE,19840126-5002,+46,075-309 40 90,1984-01-26,True
Tommy,Carlsson,Parkvägen 662,Gävle,16584,Sverige,SE,19420202-5197,+46,08-94 19 70,1942-02-02,True
Gun,Bengtsson,Grantorget 597,Skövde,40543,Sverige,SE,19721218-7900,+46,+46 (0)8 399 580 87,1972-12-18,True
Tara,Schwartz,Jamie Pines 9899,Jonathanfort,59853,Danmark,DK,19480523-1535,+45,8946512346,1948-05-23,True
Sissel,Mathisen,Evensenroa 863,Sivodden,3559,Norge,NO,19921009-0084,+47,01 24 08 14,1992-10-09,True
Emil,Forsberg,Ektorget 109,Malmö,13284,Sverige,SE,19701221-1424,+46,+46 (0)01 69 62 97,1970-12-21,True
Benjamin,Fernandez,Hernandez Radial 898,South Stephanie,26997,Danmark,DK,19461015-8776,+45,9808738840,1946-10-15,True
Elsa,Eriksson,Ekgränd 8,Västerås,82432,Sverige,SE,19710913-1239,+46,0109-437 04,1971-09-13,True
Emma,Johansson,Ekgatan 764,Landskrona,61012,Sverige,SE,19440910-1136,+46,08-320 36 60,1944-09-10,True
Hans,Nilsson,Idrottsgränd 7,Skellefteå,42876,Sverige,SE,19701019-6338,+46,08-149 810 39,1970-10-19,True
Sofia,Andersson,Villagränd 76,Landskrona,17870,Sverige,SE,19710315-5166,+46,08-91 65 38,1971-03-15,True
Mario,Mcgrath,Deborah Forks 2375,Port Cassandraland,60346,Danmark,DK,19880907-8220,+45,920.394.0038x762,1988-09-07,True
Ingrid,Hauge,Bakkenskogen 09A,Frankeid,3406,Norge,NO,19700211-7851,47,+4726210286,1970-02-11,True
Rebecca,White,Phillips Gardens 115,Port Amy,67581,Danmark,DK,19930222-2869,+45,825.743.3997x96868,1993-02-22,True
Allan,Nilsson,Kyrkogränd 63,Södertälje,29527,Sverige,SE,19410729-3874,+46,08-490 729 80,1941-07-29,True
Sander,Jacobsen,Aasentjernet 5,Joakimstrand,9875,Norge,NO,19820219-9942,+47,41446000,1982-02-19,True
Gustav,Pettersson,Furugatan 5,Lund,98297,Sverige,SE,19661121-5986,+46,045-42 55 31,1966-11-21,True
Reidun,Strand,Strandskogen 17,Astridstad,7958,Norge,NO,19750925-3121,+47,50118237,1975-09-25,True
Johannes,Martinsson,Furustigen 8,Uddevalla,25788,Sverige,SE,19820603-4979,+46,+46 (0)217 025 91,1982-06-03,True
Carl,Eliasson,Ängsstigen 3,Örebro,15622,Sverige,SE,19551218-0637,+46,057-47 74 60,1955-12-18,True
Grant,Hoffman,William Mall 4068,North Christophermouth,96509,Danmark,DK,19910907-8904,+45,(816)233-5980,1991-09-07,True
Marianne,Pettersen,Henrikseneggen 1,Nilsøy,3657,Norge,NO,19531119-2614,+47,+4703657949,1953-11-19,True
Nils,Berglund,Stationsgatan 483,Helsingborg,73095,Sverige,SE,19470623-2434,+46,08-459 13 08,1947-06-23,True
Håkon,Strøm,Gulbrandsenvollen 6A,Berntsen,6964,Norge,NO,19960422-9010,+47,01 65 96 31,1996-04-22,True
Håkan,Larsson,Skogsvägen 318,Gävle,19170,Sverige,SE,19880504-4950,+46,+46 (0)43 98 03 90,1988-05-04,True
Heidi,Hagen,Haugenengen 7,Mettehelle,8218,Norge,NO,19800429-4560,+47,14617826,1980-04-29,True
Alexander,Cunningham,Zamora Port 07902,Lake Joseph,15035,Danmark,DK,19990309-7553,+45,(890)789-9606x6813,1999-03-09,True
Helena,Karlsson,Backgatan 43,Motala,28323,Sverige,SE,19760228-5019,+46,0267-304 10,1976-02-28,True
Kent,Söderberg,Kyrkgränd 049,Västerås,81349,Sverige,SE,19561115-6120,+46,018-55 46 48,1956-11-15,True
Kirsten,Tveit,Bøegata 5,Berithavn,1933,Norge,NO,19920511-6148,+47,953 91 606,1992-05-11,True
Arne,Persson,Skolvägen 8,Karlskrona,26363,Sverige,SE,20000413-4429,+46,08-189 97 59,2000-04-13,True
Bengt,Nilsson,Strandvägen 030,Malmö,25372,Sverige,SE,19850401-3420,+46,08-34 38 16,1985-04-01,True
Gustav,Olsson,Nygatan 2,Mölndal,34845,Sverige,SE,19460503-0096,+46,005-186 92 40,1946-05-03,True
Stein,Næss,Olsenjordet 2,Rønning,8411,Norge,NO,19491025-5738,+47,97240936,1949-10-25,True
Nils,Lundkvist,Ekgatan 8,Östersund,89478,Sverige,SE,19900502-3825,+46,0171-05 61 93,1990-05-02,True
Astrid,Olsson,Aspvägen 746,Malmö,24306,Sverige,SE,19480606-5684,+46,0194-56 78 93,1948-06-06,True
Solveig,Henriksen,Andresenengen 7,Strand,7465,Norge,NO,19770525-3311,+47,95281717,1977-05-25,True
Thomas,Ellingsen,Dahlbakken 5,Aas,9150,Norge,NO,19910405-3838,+47,47213307,1991-04-05,True
Yngve,Olsson,Parkvägen 985,Mölndal,39482,Sverige,SE,19660318-6557,+46,024-248 79 56,1966-03-18,True
Marit,Lund,Olsentoppen 4,Strøm,3158,Norge,NO,19940419-0788,+47,+47 27 60 93 74,1994-04-19,True
Tove,Bakke,Danielsenstien 194,Ali,2817,Norge,NO,19821104-7666,+47,24222325,1982-11-04,True
Ivar,Olofsson,Trädgårdstorget 42,Trollhättan,61843,Sverige,SE,19970901-0922,+46,+46 (0)583 968 45,1997-09-01,True
Emily,Kelly,Rose Manor 8395,South Timothychester,51219,Danmark,DK,19920911-3971,+45,671.503.8508x745,1992-09-11,True
Lisa,Wallace,Mark Street 913,Parsonsfurt,47252,Danmark,DK,19830509-8917,+45,(290)446-6840,1983-05-09,True
Eva,Næss,Hellandroa 00,Moe,5127,Norge,NO,19680201-1543,+47,+47 61 73 86 60,1968-02-01,True
Priscilla,Sanders,Casey Plains 01984,South Rachel,05475,Danmark,DK,19670828-2735,+45,828.689.2484x0675,1967-08-28,True
Matthew,Walker,Julia Drive 08241,Thomasmouth,79852,Danmark,DK,19890313-7605,+45,619.890.4364x9283,1989-03-13,True
Uolevi,Haavisto,Kolutie 508,Kalajoki,49682,Finland,FI,19811114-798F,+358,+358 72 7217488,1981-11-14,True
Josefine,Ågren,Grangränd 5,Umeå,92840,Sverige,SE,19590722-4004,+46,08-286 49 30,1959-07-22,True
Inger,Haugland,Isaksentunet 7,Livstrand,9297,Norge,NO,19630726-5471,+47,40667746,1963-07-26,True
Carina,Nilsson,Kyrkvägen 41,Eskilstuna,30136,Sverige,SE,19680115-7429,+46,+46 (0)8 032 741 73,1968-01-15,True
Einar,Gulbrandsen,Strandtunet 9,Næss,4170,Norge,NO,19521127-3679,+47,+4763586846,1952-11-27,True
Gerd,Abrahamsen,Antonsenekra 5D,Kristensen,4706,Norge,NO,19781020-5518,+47,99495237,1978-10-20,True
Anders,Nilsson,Ringvägen 814,Lund,93072,Sverige,SE,19750122-9876,+46,+46 (0)85 67 86 24,1975-01-22,True
Mats,Sandström,Skolgatan 74,Lidköping,16493,Sverige,SE,19410705-9909,+46,08-133 05 57,1941-07-05,True
Maria,Nordström,Bäckgatan 538,Mölndal,82564,Sverige,SE,19570112-6548,+46,+46 (0)326 674 33,1957-01-12,True
Ulrika,Petersson,Idrottstorget 751,Borås,48388,Sverige,SE,19841009-0890,+46,0926-60 06 48,1984-10-09,True
Knut,Olsson,Parkgränd 53,Landskrona,17350,Sverige,SE,19640514-7773,+46,060-627 36 89,1964-05-14,True
Patricia,Williams,Amanda Drives 4290,North Lee,46184,Danmark,DK,19770615-3957,+45,001-559-881-1804x083,1977-06-15,True
Christer,Jonasson,Skolgränd 2,Skövde,87351,Sverige,SE,19801031-0856,+46,0060-450 18,1980-10-31,True
Georg,Andersson,Åkergatan 697,Falun,84389,Sverige,SE,19820209-1272,+46,010-380 03 75,1982-02-09,True
Marie,Persson,Kvarngränd 690,Sundsvall,53424,Sverige,SE,19490913-8740,+46,0148-773 78,1949-09-13,True
Peter,Olsson,Skolgränd 6,Uppsala,77433,Sverige,SE,19810404-0095,+46,+46 (0)78 87 36 30,1981-04-04,True
Johanna,Lundgren,Åkerstigen 599,Motala,29022,Sverige,SE,19640118-3622,+46,018-44 90 75,1964-01-18,True
Johanna,Larsson,Trädgårdsvägen 01,Alingsås,24822,Sverige,SE,19870720-5744,+46,08-733 07 58,1987-07-20,True
Claes,Gustafsson,Ekvägen 475,Trelleborg,62962,Sverige,SE,19570404-5225,+46,0316-88 13 69,1957-04-04,True
Emelie,Karlsson,Parkgränd 0,Piteå,10224,Sverige,SE,19760918-5833,+46,0445-32 33 93,1976-09-18,True
Kathleen,Wheeler,Patricia Row 77227,Port Troyton,61617,Danmark,DK,19441104-7525,+45,690.359.9777x89766,1944-11-04,True
Roland,Eriksson,Björkgatan 52,Skellefteå,31662,Sverige,SE,20000617-2629,+46,+46 (0)8 980 613 27,2000-06-17,True
Anders,Rosén,Bäcktorget 8,Karlskrona,11987,Sverige,SE,19850104-6515,+46,0508-99 01 24,1985-01-04,True
Roy,Thorsen,Sivertseneggen 57C,Hansen,3194,Norge,NO,19771228-0001,+47,82662250,1977-12-28,True
Stein,Sæther,Sivertsenjordet 03B,Janneås,8603,Norge,NO,19470814-5940,+47,38 66 57 86,1947-08-14,True
Elisabeth,Thomassen,Andreassenberget 50B,Elisabethvær,9697,Norge,NO,19520410-4639,+47,+4706773275,1952-04-10,True
Anders,Andersson,Björkgatan 30,Trollhättan,91303,Sverige,SE,19890204-2883,+46,08-113 40 90,1989-02-04,True
Fredrik,Pettersson,Stationsgatan 952,Stockholm,59131,Sverige,SE,19720418-1438,+46,08-490 02 48,1972-04-18,True
Arne,Bengtsson,Ängstorget 5,Halmstad,62334,Sverige,SE,19741110-2600,+46,0898-864 16,1974-11-10,True
Stacy,Smith,Williams Loop 399,Port Rodneyhaven,93472,Danmark,DK,19820129-4863,+45,001-983-283-4279x235,1982-01-29,True
Mette,Hansen,Iversenekra 77B,Anitasand,0855,Norge,NO,19500111-7098,+47,98061078,1950-01-11,True
Isaac,Melton,Shelia Passage 17033,Joshuaview,84704,Danmark,DK,19520112-7129,45,+1-811-532-0317,1952-01-12,True
Randi,Brekke,Svendsengropa 2,Sisselhelle,7958,Norge,NO,19651028-3231,+47,961 10 236,1965-10-28,True
Roland,Lindblom,Järnvägsgatan 59,Motala,40171,Sverige,SE,19870215-2250,+46,08-980 05 43,1987-02-15,True
Cecilia,Nilsson,Aspvägen 37,Kalmar,37764,Sverige,SE,19841014-4536,+46,+46 (0)34 39 41 79,1984-10-14,True
Sue,Bailey,Yvonne Burg 73502,Lake Andrea,37248,Danmark,DK,19731228-7377,+45,001-325-546-7795x4206,1973-12-28,True
Marius,Arnesen,Thorsenskrenten 3A,Maysund,3008,Norge,NO,19580117-3287,+47,39149177,1958-01-17,True
Catherine,Gillespie,Johnson Estate 9674,South Carrieburgh,18179,Danmark,DK,19600627-2552,+45,638.378.0083,1960-06-27,True
Alexander,Fredriksen,Hagenløkka 8,Tveit,3141,Norge,NO,19950219-0988,+47,15 39 90 39,1995-02-19,True
Kimberly,Johnson,John Motorway 024,Tiffanyport,74845,Danmark,DK,19450710-5380,+45,001-737-840-1923,1945-07-10,True
Hans,Nilsson,Trädgårdsvägen 07,Eskilstuna,47084,Sverige,SE,19720725-0356,46,080-03 35 32,1972-07-25,True
Ruth,Karlsen,Liegata 14,Sindrebø,7331,Norge,NO,19610211-7883,+47,986 60 897,1961-02-11,True
Linnea,Johansson,Skogsgatan 263,Landskrona,94647,Sverige,SE,19680623-0886,+46,08-520 287 30,1968-06-23,True
Per,Nilsson,Trädgårdsvägen 4,Varberg,73387,Sverige,SE,19841201-3435,+46,+46 (0)60 75 34 08,1984-12-01,True
Jonas,Johansson,Idrottsstigen 35,Halmstad,26980,Sverige,SE,19680306-3814,+46,050-60 92 97,1968-03-06,True
Mattias,Johansson,Fabrikstorget 3,Örebro,69681,Sverige,SE,19570524-4749,+46,0486-10 04 55,1957-05-24,True
Margareta,Kristiansson,Industrigatan 96,Uppsala,14044,Sverige,SE,19680323-1364,+46,08-625 159 40,1968-03-23,True
Alexandra,Persson,Skolgatan 880,Luleå,74131,Sverige,SE,19460501-1434,+46,0481-56 06 33,1946-05-01,True
Carina,Svensson,Industrigatan 3,Borås,42990,Sverige,SE,19480402-4958,+46,08-28 43 21,1948-04-02,True
Elisabeth,Henriksson,Parkgatan 636,Lund,68882,Sverige,SE,19590422-4499,+46,+46 (0)8 990 283 65,1959-04-22,True
Tapio,Laaksonen,Ylä-Fallin tie 7,Askola,27387,Finland,FI,19770814-773L,+358,009 745 3790,1977-08-14,True
Line,Tangen,Moerøa 6,Nygård,7053,Norge,NO,19541203-3446,+47,96940899,1954-12-03,True
Eli,Halvorsen,Kristoffersensvingen 6,Karisjøen,8508,Norge,NO,19691123-9172,+47,+47 04 57 98 54,1969-11-23,True
John,Evans,Joanna Passage 02347,Wolftown,99633,Danmark,DK,19560524-4473,+45,(480)746-2913x08744,1956-05-24,True
Linnéa,Persson,Järnvägstorget 0,Varberg,45238,Sverige,SE,19911212-3372,+46,08-65 89 24,1991-12-12,True
Ragnhild,Karlsen,Ødegårdlyngen 68B,Annberg,7935,Norge,NO,19860114-7619,+47,43726808,1986-01-14,True
Gustaf,Andersson,Backtorget 321,Västerås,42651,Sverige,SE,19630318-9753,+46,08-70 03 81,1963-03-18,True
Birgitta,Lind,Fabriksstigen 974,Skellefteå,27850,Sverige,SE,19520531-8979,+46,+46 (0)8 003 482 77,1952-05-31,True
Sven,Nyman,Villatorget 780,Nyköping,84582,Sverige,SE,19601128-5336,+46,+46 (0)813 567 83,1960-11-28,True
Edit,Sjöberg,Skogsvägen 19,Kalmar,27660,Sverige,SE,19710327-4832,+46,037-845 91 58,1971-03-27,True
Mikael,Pettersson,Villavägen 2,Skövde,70752,Sverige,SE,19640620-8936,+46,0827-22 13 31,1964-06-20,True
Ivan,Karlsson,Kvarngatan 0,Linköping,17155,Sverige,SE,19510125-8756,+46,069-322 22 23,1951-01-25,True
Inger,Ellingsen,Kristensensvingen 3,Linnsjøen,4037,Norge,NO,19730330-9283,+47,+47 45 65 15 07,1973-03-30,True
Rachel,Payne,Payne Valleys 31740,Josephview,67743,Danmark,DK,19490701-8637,+45,434.731.8117x6827,1949-07-01,True
Olavi,Mattila,Iltaruskonpolku 395,Multia,45488,Finland,FI,19650122-853R,+358,074 509 2491,1965-01-22,True
Anthony,West,Jeremy Mount 281,Lake Ashley,16198,Danmark,DK,19771224-1283,+45,418-779-1903x62571,1977-12-24,True
Max,Karlsson,Parkstigen 65,Piteå,16798,Sverige,SE,19860416-8537,+46,+46 (0)14 84 61 16,1986-04-16,True
Emelie,Persson,Parkgatan 1,Nyköping,28496,Sverige,SE,19400721-5232,+46,098-44 47 85,1940-07-21,True
Satu,Mäkelä,Laakavuorentie 81,Kittilä,50344,Finland,FI,19750120-3312,+358,+358 11 5770749,1975-01-20,True
Inga,Hjalmarsson,Ringvägen 368,Växjö,40435,Sverige,SE,19420605-2862,+46,0557-270 18,1942-06-05,True
Roger,Hauge,Hauglandvollen 7,Andreaøy,2175,Norge,NO,19700606-5128,+47,+4756639908,1970-06-06,True
Siv,Edvardsen,Lundemyra 660,Kristinesand,4093,Norge,NO,19960518-1434,+47,98 36 16 88,1996-05-18,True
Mari,Engen,Danielsenstykket 08,Oddhavn,7278,Norge,NO,19681213-0237,+47,934 23 439,1968-12-13,True
Lilly,Hansson,Genstigen 00,Ängelholm,81983,Sverige,SE,19941229-1890,+46,024-459 08 73,1994-12-29,True
Gun,Eriksson,Backtorget 3,Umeå,18650,Sverige,SE,19431228-8096,+46,065-15 89 40,1943-12-28,True
Vegard,Vik,Aligropa 4,Mayøy,4305,Norge,NO,19511107-3424,+47,91415725,1951-11-07,True
Kalevi,Koskinen,Fallkullantie 26,Eura,95226,Finland,FI,19871007-7644,+358,0177979087,1987-10-07,True
Martine,Solheim,Næsseggen 612,Ellingsen,0974,Norge,NO,19990804-1636,+47,922 27 359,1999-08-04,True
Marte,Jakobsen,Johansenringen 84,Lunde,4038,Norge,NO,19920527-0545,+47,+47 97 96 30 64,1992-05-27,True
Jorunn,Sandvik,Strandeggen 5,Solberg,8602,Norge,NO,19440902-8588,+47,13 30 33 55,1944-09-02,True
Linnéa,Johansson,Parkgatan 19,Trollhättan,61811,Sverige,SE,19560211-3524,+46,086-52 42 24,1956-02-11,True
Fredrik,Karlsson,Bäcktorget 003,Karlskrona,99269,Sverige,SE,19590123-0117,+46,076-33 79 50,1959-01-23,True
Jan,Abrahamsen,Andersenmoen 1F,Andersen,7836,Norge,NO,19530314-3948,+47,99759026,1953-03-14,True
Grethe,Hansen,Danielsenspranget 7,Toneø,5889,Norge,NO,19580928-1561,+47,49537425,1958-09-28,True
Mathias,Jansson,Skolvägen 6,Jönköping,69660,Sverige,SE,19500819-0301,+46,+46 (0)19 66 06 18,1950-08-19,True
Rasmus,Löfgren,Villatorget 887,Västerås,54264,Sverige,SE,19941204-2042,+46,+46 (0)328 566 80,1994-12-04,True
Erland,Karlsson,Ringtorget 685,Trelleborg,67922,Sverige,SE,19711216-2035,+46,08-264 307 15,1971-12-16,True
Göran,Lundqvist,Aspvägen 691,Karlstad,33037,Sverige,SE,19680806-0893,+46,+46 (0)8 411 911 28,1968-08-06,True
Jørgen,Næss,Larsenekra 5,Rasmussen,2021,Norge,NO,19890625-6435,+47,97 19 74 41,1989-06-25,True
Ann,Svensson,Aspvägen 648,Skövde,14681,Sverige,SE,19510202-3295,+46,+46 (0)54 43 69 17,1951-02-02,True
Maria,Andersson,Idrottsgatan 846,Malmö,83388,Sverige,SE,19751011-3165,+46,+46 (0)8 001 813 05,1975-10-11,True
Tonje,Isaksen,Johansengropa 68B,Knudsen,6722,Norge,NO,19470402-0820,+47,+4752299063,1947-04-02,True
Anna,Andersson,Kyrkogränd 0,Södertälje,79432,Sverige,SE,19710629-5727,+46,08-581 501 65,1971-06-29,True
Viktor,Ekman,Villagatan 3,Linköping,61143,Sverige,SE,19920509-3994,+46,08-199 29 46,1992-05-09,True
Verner,Svensson,Kyrkovägen 234,Sundsvall,69998,Sverige,SE,19431207-3144,+46,0266-81 05 33,1943-12-07,True
Märta,Isaksson,Kvarngatan 95,Varberg,76731,Sverige,SE,19830725-6665,+46,0089-290 33,1983-07-25,True
Cathrine,Antonsen,Strømflata 5,Jørgensen,6371,Norge,NO,19780929-5486,+47,62 64 18 13,1978-09-29,True
Sven,Åström,Järnvägsgatan 93,Norrköping,84201,Sverige,SE,19591002-8272,+46,08-442 655 12,1959-10-02,True
Elisabeth,Bengtsson,Backvägen 882,Luleå,30536,Norge,SE,19811130-5780,+46,+46 (0)39 55 48 75,1981-11-30,True
Monica,Williams,Laura Squares 41935,Lake Cindymouth,27496,Danmark,DK,19490101-7040,+45,(450)985-3853x083,1949-01-01,True
Helen,Persson,Parkgränd 313,Uppsala,34701,Sverige,SE,19481024-7350,+46,021-162 01 75,1948-10-24,True
Anders,Bengtsson,Ekstigen 415,Skellefteå,56977,Sverige,SE,19800109-2431,+46,082-11 35 73,1980-01-09,True
Elisabeth,Olsson,Kyrkovägen 06,Alingsås,92018,Sverige,SE,19950810-4207,+46,010-351 02 58,1995-08-10,True
Bertil,Strömberg,Asptorget 62,Örebro,82449,Sverige,SE,19570909-4801,+46,0320-401 34,1957-09-09,True
Stig,Ottosson,Storvägen 531,Norrköping,74922,Sverige,SE,19610804-9733,+46,+46 (0)79 08 38 68,1961-08-04,True
Kjersti,Haugen,Larsenkollen 8,Kristinstrand,8926,Norge,NO,19851213-3532,+47,974 20 601,1985-12-13,True
Einar,Johansson,Idrottsgatan 270,Landskrona,68507,Sverige,SE,19460331-1394,+46,+46 (0)8 927 030 97,1946-03-31,True
Lars,Andersson,Furugränd 452,Falun,73819,Sverige,SE,19920307-4091,+46,+46 (0)8 120 235 54,1992-03-07,True
Bengt,Eriksson,Genvägen 870,Mölndal,59278,Sverige,SE,19770409-9106,+46,0766-220 33,1977-04-09,True
Rune,Danielsen,Ruudsvingen 997,Næss,2255,Norge,NO,19671018-7013,+47,45219415,1967-10-18,True
Cassandra,Yoder,Desiree Ramp 436,Julieville,27909,Danmark,DK,19751023-7175,+45,489.665.0426x39201,1975-10-23,True
Kaarina,Laitinen,Freesenbulevardi 16,Lieto,80067,Finland,FI,19481130-104D,+358,(+358) 205636342,1948-11-30,True
Eva,Andersen,Myhregata 7,Beritvær,3215,Norge,NO,19770201-5939,+47,18 93 26 22,1977-02-01,True
Nina,Berntsen,Holmhavna 87,Sørensen,5959,Norge,NO,19731117-1895,+47,20 84 22 12,1973-11-17,True
Dustin,Neal,Tyler Via 42636,East Jessica,42998,Danmark,DK,19760229-6248,+45,560-401-0607x3264,1976-02-29,True
Brita,Svensson,Furugatan 30,Göteborg,86983,Sverige,SE,19740412-9686,+46,08-281 43 09,1974-04-12,True
Stefan,Johansson,Fabriksstigen 48,Växjö,20373,Sverige,SE,19521122-2361,+46,034-331 34 53,1952-11-22,True
Gunhild,Larsson,Bäckvägen 81,Eskilstuna,86749,Sverige,SE,19640323-5260,+46,+46 (0)363 711 48,1964-03-23,True
Morten,Haug,Næsslyngen 5,Turiddal,2301,Norge,NO,19681030-4748,+47,92779675,1968-10-30,True
Alf,Andersson,Ekstigen 611,Borlänge,72882,Sverige,SE,19990303-7917,+46,071-90 98 26,1999-03-03,True
Emilie,Sandvik,Ruudgjerdet 30,Kårestad,2777,Norge,NO,19940803-2000,+47,01635835,1994-08-03,True
Ola,Sandvik,Madsenkroken 60,Martinsand,4509,Norge,NO,19821003-7701,+47,959 18 908,1982-10-03,True
Logan,Fitzpatrick,Lewis Haven 80113,Lewisburgh,73862,Danmark,DK,19880217-7321,+45,+1-926-254-3344x3189,1988-02-17,True
Gunnar,Engen,Nielsenekra 123,Ruthberg,6635,Norge,NO,19990809-9706,+47,95665716,1999-08-09,True
Linnea,Paulsson,Åkergränd 67,Lidingö,35227,Sverige,SE,19900331-8171,+46,059-157 40 38,1990-03-31,True
Michelle,Cline,April Lake 2883,West David,28645,Danmark,DK,19680506-0645,+45,299-946-0209,1968-05-06,True
Thomas,Karlsson,Gengatan 9,Malmö,97228,Sverige,SE,19591226-0884,+46,08-569 39 96,1959-12-26,True
Juho,Turunen,Kolvikatu 10,Padasjoki,62767,Finland,FI,19740118-680N,+358,099 897 9703,1974-01-18,True
John,Vaughan,Johnson Ridge 9343,North Michaelmouth,95639,Danmark,DK,19410525-5425,+45,+1-588-375-5219x49387,1941-05-25,True
Nils,Karlsson,Kvarnstigen 67,Örnsköldsvik,96236,Sverige,SE,19800428-8299,+46,+46 (0)8 087 465 03,1980-04-28,True
